Signal Activity Average
tBodyAcc.mean...X WALKING Mean   :0.2763  
tBodyAccJerk.mean...Z LAYING Mean   :-0.004860  
tBodyAccJerk.std...X LAYING Mean   :-0.9804  
tBodyAccJerk.std...Y LAYING Mean   :-0.9711  
tBodyAccJerk.std...Z LAYING Mean   :-0.9795  
tBodyGyro.mean...X LAYING Mean   :-0.01673  
tBodyGyro.mean...Y LAYING Mean   :-0.09341  
tBodyGyro.mean...Z LAYING Mean   : 0.12589  
tBodyGyro.std...X LAYING Mean   :-0.96789  
tBodyGyro.std...Y LAYING Mean   :-0.9632  
tBodyGyro.std...Z LAYING Mean   :-0.9635  
tBodyGyroJerk.mean...X LAYING Mean   :-0.10186  
tBodyGyroJerk.mean...Y LAYING Mean   :-0.03820  
tBodyGyroJerk.mean...Z LAYING Mean   :-0.06385  
tBodyGyroJerk.std...X LAYING Mean   :-0.9761  
tBodyGyroJerk.std...Y LAYING Mean   :-0.9805  
tBodyGyroJerk.std...Z LAYING Mean   :-0.9848  
tBodyAccMag.mean.. LAYING Mean   :-0.9411  
tBodyAccMag.std.. LAYING Mean   :-0.9322  
tGravityAccMag.mean.. LAYING Mean   :-0.9411  
tGravityAccMag.std.. LAYING Mean   :-0.9322  
tBodyAccJerkMag.mean.. LAYING Mean   :-0.9792  
tBodyAccJerkMag.std.. LAYING Mean   :-0.9742  
tBodyGyroMag.mean.. LAYING Mean   :-0.9384  
tBodyGyroMag.std.. LAYING Mean   :-0.9406  
tBodyGyroJerkMag.mean.. LAYING Mean   :-0.9827  
tBodyGyroJerkMag.std.. LAYING Mean   :-0.9768  
fBodyAcc.mean...X LAYING Mean   :-0.9668  
fBodyAcc.mean...Y LAYING Mean   :-0.9527  
fBodyAcc.mean...Z LAYING Mean   :-0.96002  
fBodyAcc.std...X LAYING Mean   :-0.95903  
fBodyAcc.std...Y LAYING Mean   :-0.9425  
fBodyAcc.std...Z LAYING Mean   :-0.9456  
fBodyAcc.meanFreq...X LAYING Mean   :-0.25938  
fBodyAcc.meanFreq...Y LAYING Mean   : 0.14305  
fBodyAcc.meanFreq...Z LAYING Mean   : 0.20319  
fBodyAccJerk.mean...X LAYING Mean   :-0.9802  
fBodyAccJerk.mean...Y LAYING Mean   :-0.9714  
fBodyAccJerk.mean...Z LAYING Mean   :-0.9766  
fBodyAccJerk.std...X LAYING Mean   :-0.9825  
fBodyAccJerk.std...Y LAYING Mean   :-0.9731  
fBodyAccJerk.std...Z LAYING Mean   :-0.9810  
fBodyAccJerk.meanFreq...X LAYING Mean   : 0.10518  
fBodyAccJerk.meanFreq...Y LAYING Mean   : 0.004854  
fBodyAccJerk.meanFreq...Z LAYING Mean   : 0.06996  
fBodyGyro.mean...X LAYING Mean   :-0.9629  
fBodyGyro.mean...Y LAYING Mean   :-0.9676  
fBodyGyro.mean...Z LAYING Mean   :-0.9642  
fBodyGyro.std...X LAYING Mean   :-0.9697  
fBodyGyro.std...Y LAYING Mean   :-0.9614  
fBodyGyro.std...Z LAYING Mean   :-0.9667  
fBodyGyro.meanFreq...X LAYING Mean   :-0.01746  
fBodyGyro.meanFreq...Y LAYING Mean   :-0.13934  
fBodyGyro.meanFreq...Z LAYING Mean   : 0.1133  
fBodyAccMag.mean.. LAYING Mean   :-0.9477  
fBodyAccMag.std.. LAYING Mean   :-0.9349  
fBodyAccMag.meanFreq.. LAYING Mean   : 0.1162  
fBodyBodyAccJerkMag.mean.. LAYING Mean   :-0.9743  
fBodyBodyAccJerkMag.std.. LAYING Mean   :-0.9732  
fBodyBodyAccJerkMag.meanFreq.. LAYING Mean   : 0.2811  
fBodyBodyGyroMag.mean.. LAYING Mean   :-0.9549  
fBodyBodyGyroMag.std.. LAYING Mean   :-0.9421  
fBodyBodyGyroMag.meanFreq.. LAYING Mean   :-0.02937  
fBodyBodyGyroJerkMag.mean.. LAYING Mean   :-0.9780  
fBodyBodyGyroJerkMag.std.. LAYING Mean   :-0.9766  
fBodyBodyGyroJerkMag.meanFreq.. LAYING Mean   : 0.165728  
